idx,domain,doc,source,reference,target
0,news,test-en-news_economist.14223,German farmers and train drivers are scaring Germany's bosses,독일 농민과 기관사의 쟁의에 좌불안석인 독일 재계,독일 농부와 기관사들이 독일 기업 경영진들을 긴장시키고 있다.
1,news,test-en-news_economist.14223,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual.",노사 공동 경영 체제의 회사가 많은 독일에서 대규모 파업은 드문 일이다.,독일에서는 노사가 공동으로 많은 기업을 운영하기 때문에 대규모 파업은 드문 일입니다.
2,news,test-en-news_economist.14223,A wave of big strikes is almost unheard of.,대형 노동 쟁의가 일제히 일어나는 것은 유례를 찾아보기 힘들다.,일련의 대규모 파업은 거의 전례가 없습니다.
3,news,test-en-news_economist.14223,"Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day.","지금 이 '공동 결정'의 나라에서는 분노한 농부들이 트랙터로 도로를 막고 점거하는 8일간의 '행동 주간'과 사흘간의 철도 노동자 파업이 동시에 벌어지고 있으며, 설상가상으로 이미 크리스마스부터 새해까지 수술실을 폐쇄한 의사들의 파업까지 앞두고 있다.","""공동결정""의 나라 독일은 현재 트랙터로 도로를 봉쇄한 격분한 농민들의 8일간의 ""행동 주간"", 철도 노동자들의 3일간의 파업, 그리고 설상가상으로 크리스마스와 새해 사이에 이미 진료를 중단했던 의사들의 파업 위협까지 동시에 직면하고 있습니다."
4,news,test-en-news_economist.14223,"This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.",'Mistgabelmop'(쇠스랑 무리들)이라고도 불리는 이번 사태로 인해 독일의 조화로운 노사 관계가 앞으로 시험대에 오를 것이다.,"일부에서 ""미스트가벨몹(쇠스랑 폭도)""이라고 부르는 이러한 상황은 앞으로 독일의 조화로운 노사 관계를 시험하게 될 것입니다."
5,news,test-en-news_economist.14223,The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles.,이번 시위의 표면적인 도화선은 농업용 디젤 연료에 대한 보조금 지급 및 농장용 차량에 대한 자동차세 면제를 중단한다는 정부의 결정이었다.,표면적으로는 정부의 농업용 경유 보조금 폐지와 농기계 자동차세 감면 혜택 축소 결정이 시위의 도화선이 되었습니다.
6,news,test-en-news_economist.14223,These measures pushed farmers over the edge.,이에 대해 농민들의 분노가 폭발했다.,"이러한 조치는 농민들을 분노하게 만들었고,"
7,news,test-en-news_economist.14223,"It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity.","게다가 이미 인플레이션, 경기 침체, 정부의 자발적 긴축 정책의 압박에 시달려 온 다른 노동자들도 분노의 물결에 동참하기 시작했다.","이미 인플레이션, 경기 침체, 그리고 정부의 자발적인 긴축 정책으로 어려움을 겪고 있던 다른 노동자들까지 결집시켰습니다."
8,news,test-en-news_economist.14223,"On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",1월 9일에는 국영 철도 회사인 도이체반(Deutsche Bahn)의 화물/여객 열차 기관사들이 노동 시간 및 임금에 관한 요구를 내세우며 파업을 시작했다.,1월 9일에는 독일 국영 철도 회사인 도이치반(Deutsche Bahn)의 화물 및 여객 열차 기관사들이 근무 시간과 임금 인상을 요구하며 파업에 돌입했습니다.
9,news,test-en-news_economist.14223,"In an effort to defuse the tension with the farmers, the government agreed to a gradual removal of the diesel subsidy over three years and to keeping the exemption from the car tax.",독일 정부는 농민들과의 갈등을 진정시키기 위해 디젤 보조금 중단을 3년에 걸쳐 점진적으로 진행하고 자동차세 면제 혜택은 유지하기로 했다.,농민들의 반발을 누그러뜨리기 위해 정부는 3년에 걸쳐 경유 보조금을 단계적으로 폐지하고 자동차세 감면은 유지하기로 합의했다.
10,news,test-en-news_economist.14223,The farmers pooh-poohed the concessions as insufficient.,농민들은 이 절충안이 불충분하다며 불만을 표시했다.,하지만 농민들은 이러한 양보안이 불충분하다며 일축했다.
11,news,test-en-news_economist.14223,"On January 4th an aggressive group of them prevented Robert Habeck, the economy minister, from disembarking from a ferry on his return from a family holiday.",1월 4일에는 그들 중 과격파 그룹이 가족과 휴가를 보내고 돌아오던 로버트 하벡 경제부 장관이 페리에서 내리는 것을 막는 일도 있었다.,"1월 4일, 과격 시위대는 로베르트 하베크 경제부 장관이 가족 휴가를 마치고 여객선에서 내리는 것을 막았다."
12,news,test-en-news_economist.14223,"If the train drivers are similarly unimpressed, that could prove expensive for German business, reckons IW Köln, a think-tank.",기관사들의 불만도 해결되지 않는다면 독일 경제계가 막대한 비용을 치를 수도 있다고 싱크탱크인 독일경제연구소(IW Köln)는 예상한다.,싱크탱크인 IW 쾰른은 만약 기관사들도 이와 같이 양보안에 만족하지 못한다면 독일 기업들에게 큰 손실을 초래할 수 있다고 예측했다.
13,news,test-en-news_economist.14223,The rail strike could cost businesses €100m ($110m) a day if it forced them to interrupt production.,철도 파업으로 기업의 생산이 중단될 경우 하루 1억 유로(1억 1천만 달러)의 손해가 발생할 수 있다.,철도 파업이 발생하여 기업들이 생산을 중단해야 할 경우 하루에 1억 유로(1억 1천만 달러)의 손실이 발생할 수 있다.
14,news,test-en-news_economist.14223,"The car, chemical and steel industries, Germany's biggest, are especially reliant on rail transport.","독일의 최대 산업인 자동차, 화학, 철강 분야는 철도 수송에 대한 의존도가 특히 높다.","독일의 주요 산업인 자동차, 화학, 철강 산업은 특히 철도 운송에 대한 의존도가 높다."
15,news,test-en-news_economist.14223,"The workers"" mood is increasingly angry.",노동자들은 점점 더 격앙되는 분위기이다.,노동자들의 분위기가 점점 더 분노로 치닫고 있습니다.
16,news,test-en-news_economist.14223,"""Appeals are circulating with fantasies of revolution,"" warned Mr Habeck.","""혁명의 환상에 휩쓸리는 중""이라고 하벡 장관은 경고했다.","하벡 장관은 ""혁명에 대한 환상을 담은 호소문들이 퍼지고 있다""고 경고했습니다."
17,news,test-en-news_economist.14223,The far-right Alternative for Germany party is doing its best to fan the grievances.,극우 정당인 '독일을 위한 대안'(Alternative for Germany)은 열성을 다해 불만을 부채질하는 중이다.,극우 정당인 독일을 위한 대안(AfD)은 이러한 불만을 부추기기 위해 전력을 다하고 있습니다.
18,news,test-en-news_economist.14223,"In Dresden the Free Saxons, another far-right group, infiltrated the farmers"" protest calling for the ""extinction of the traffic light"" (as the governing coalition of the Social Democrats, Free Democrats and Greens is referred to because of their party colours).","드레스덴에서 또 다른 극우 단체인 '자유로운 작센'(Free Saxons)은 농민들의 시위에 침투하여 (각 당을 상징하는 색상 때문에 사회민주당, 자유민주당, 녹색당의 집권 연합을 뜻하는) '신호등의 소멸'을 요구했다.","드레스덴에서는 또 다른 극우 단체인 자유 작센(Freie Sachsen)이 농민 시위에 침투하여 ""신호등의 소멸""(사회민주당, 자유민주당, 녹색당의 연립 정부를 당의 상징색 때문에 이렇게 부릅니다)을 외쳤습니다."
19,news,test-en-news_economist.14223,Thomas Puls of IW Köln fears that the strikes will harm the image of Germany as a place for business.,독일경제연구소의 토마스 풀스는 이 파업 사태로 인해 비즈니스하기 좋은 곳이라는 독일의 이미지가 훼손될 것을 걱정한다.,IW 쾰른의 토마스 풀스는 이번 파업이 독일의 기업 환경 이미지에 악영향을 미칠 것을 우려하고 있습니다.
20,news,test-en-news_economist.14223,"Local bosses are already fretting about a German version of the gilets jaunes protests in France in 2018, which culminated in yellow-jacketed demonstrators torching cars on the Champs-Elysées and the police stepping in with tear gas.","이미 현지 재계는 2018년, 프랑스에서 노란색 재킷을 입은 시위대가 샹젤리제 거리에서 자동차에 불을 붙이고 이에 경찰이 최루탄을 쏘며 대응했던 노란 조끼 운동의 독일판이 벌어질까 우려하고 있다.",현지 기업 경영진들은 이미 2018년 프랑스에서 노란 조끼 시위대가 샹젤리제 거리에서 차량에 불을 지르고 경찰이 최루탄으로 진압했던 사건처럼 독일판 '노란 조끼' 시위가 발생할 것을 걱정하고 있습니다.
21,news,test-en-news_economist.14223,"Jochen Kopelke, head of Germany's police union, warned in an interview with Tagesspiegel, a daily, that the farmers were probably ""just the start of an enormous wave of protest this year.""","요헨 코펠케 독일 경찰 노조 대표는 일간지 타게스스피겔과의 인터뷰에서 농민 시위는 아마도 ""올해 벌어질 거대한 저항 운동의 시작일 뿐""이라고 경고했다.","독일 경찰 노조 위원장인 요헨 코펠케는 일간지 타게스슈피겔과의 인터뷰에서 농민들의 시위는 ""올해 엄청난 규모의 시위 물결의 시작일 뿐일 것""이라고 경고했습니다."
22,news,test-en-news_economist.14223,"Germany was the only big economy to shrink in 2023, and the year ended on an especially sour note, with an unexpected drop in business confidence in December.",독일은 2023년에 경제 대국 중 유일하게 역성장을 기록했다. 특히 12월에 뜻하지 않게 기업 신뢰도가 하락하는 등 우울한 분위기로 마무리했다.,"독일은 2023년에 역성장한 유일한 주요 경제국이며, 특히 12월 기업 신뢰도가 예상치 못하게 하락하면서 한 해를 불안하게 마무리했습니다."
23,news,test-en-news_economist.14223,This year is shaping up to be even tougher.,올해의 상황은 더 힘들어지리라 예상된다.,올해 경제 상황은 더욱 어려워질 것으로 예상됩니다.
24,news,test-en-news_newsweek.63908,Government Shutdown Debate Fuels House Republican Civil War,"정부 셧다운 논의, 하원 공화당의 내전에 기름을 붓다","정부 셧다운 논쟁, 공화당 내홍 심화"
25,news,test-en-news_newsweek.63908,Conservative spending hawks in the House of Representatives bucked party leadership today - derailing a series of votes - in protest of Speaker Mike Johnson's recent spending deal with Democratic leadership that they feel does not go far enough in fiscal reductions.,재정 삭감이 충분하지 않다고 주장하는 하원의 보수 지출 매파가 민주당 지도부와 마이크 존슨 하원 의장의 지출 합의에 항의하며 일련의 투표 이탈과 함께 최근 당 지도부를 흔들고 있습니다.,하원의 재정적 보수파 의원들이 최근 마이크 존슨 하원의장이 민주당 지도부와 타결한 지출 협상안이 재정 감축에 충분하지 않다고 반발하며 당 지도부의 뜻에 반기를 들고 일련의 표결을 무산시켰다.
26,news,test-en-news_newsweek.63908,"While the Louisiana Republican can avoid confronting the issue for now, on January 19 the country will face its deadline to pass four of 12 annual spending bills.","루이지애나 공화당이 당분간 해당 이슈로 인한 충돌을 피할 수 있게 된 사이, 1월 19일 미국은 12개의 연간 지출 법안 중 4개를 통과시켜야 하는 마감 기한을 맞게 됩니다.","루이지애나 출신의 이 공화당원은 현재로서는 해당 문제에 대한 직접적인 대응을 피할 수 있지만, 1월 19일 국가는 12개의 연간 지출 법안 중 4개를 통과시켜야 하는 시한에 직면하게 됩니다."
27,news,test-en-news_newsweek.63908,"Johnson has publicly stated that he would not support a ""continuing resolution"" (CR) to extend the deadline on these four bills to the February 2 due date for the remaining eight.","존슨 의장은 해당 4개 법안의 마감 기한을 나머지 8개 법안의 마감 기한인 2월 2일로 연장하기 위해 ""예산 계속 결의안""(CR)을 지지하지 않겠다고 공개적으로 언급했습니다.","존슨 의원은 나머지 8개 법안의 기한인 2월 2일까지 이 4개 법안의 처리 시한을 연장하는 ""계속 결의안""(CR)을 지지하지 않겠다고 공개적으로 밝혔습니다."
28,news,test-en-news_newsweek.63908,"However, with that deadline just 9 days away, Senate Republican Leader Mitch McConnell has said Congress will need to pass a CR to keep things open, meaning the speaker may soon break a promise he made, largely to appease his right flank.","그러나, 마감 기한을 겨우 9일 남겨두고 미치 맥코넬 상원 공화당 원내대표는 의회가 결정에 대한 여지를 남겨두기 위해 예산 계속 결의안을 통과시켜야 할 것이라고 말했는데 이는 의장이 전반적으로 자신의 우익을 달래기 위해 약속을 곧 깰 것임을 의미합니다.","그러나 마감시한이 불과 9일 앞으로 다가온 가운데, 미치 매코널 상원 공화당 원내대표는 정부 기능 유지를 위해 의회가 임시 예산안(CR)을 통과시켜야 할 것이라고 말했습니다. 이는 하원의장이 주로 강경 우파를 달래기 위해 했던 약속을 곧 어길 수도 있음을 의미합니다."
29,news,test-en-news_newsweek.63908,Such a maneuver could ignite a heated ideological battle in a closely divided House over the GOP's role in spending cuts that may see the government face a partial shutdown or Johnson removed from his job.,그러찬 책략은 지출 삭감을 주장하는 공화당과 거의 분열되다시피한 하원간의 달아오른 이념 전쟁에 불을 붙일 수 있고 정부가 부분적인 셧다운에 돌입하거나 존슨 의장이 해임되는 상황을 보게 될 수 있을 것입니다.,"이러한 움직임은 정부의 부분적인 셧다운이나 존슨 의장의 해임 가능성을 야기할 수 있는 지출 삭감에 대한 공화당의 역할을 두고, 근소한 차이로 양분된 하원에서 격렬한 이념 논쟁을 촉발할 수 있습니다."
30,news,test-en-news_newsweek.63908,"""I've been very clear that CRs are not the way to fund our government that the Budget Act of 1974 calls for us to pass the 12 appropriation bills,"" Congressman Matt Rosendale of Montana told Newsweek.",예산 계속 결의안으로는 12개의 세출 법안을 통과시켜야 하는 1974년 예산법을 적용하는 미국 정부의 자금을 지원할 수 없다는 점에 대해 저는 명확한 입장을 고수해왔습니다 라고 매트 로젠데일 몬타나 주 하원 의원은 뉴스위크지를 통해 밝혔습니다.,"몬태나주 하원의원 맷 로젠데일은 뉴스위크와의 인터뷰에서 ""저는 계속해서 분명히 말씀드렸습니다. 연속 결의안(CR)은 1974년 예산법이 요구하는 12개의 세출 예산안을 통과시켜야 하는 우리 정부의 자금 조달 방식이 아닙니다.""라고 밝혔다."
31,news,test-en-news_newsweek.63908,"""We've had ample time to do that, and if the leadership does not direct the committees to get the work done and the members to be able to vote upon it, that therein lies the breakdown.""","""시간이 충분했었는데 지도부가 위원회로 하여금 일을 마무리하고 구성원들이 해당 사안에 대해 투표하는 방향으로 이끌지 못한다면 분열이 일어나게 되죠.""","""우리에게는 그럴 충분한 시간이 있었고, 지도부가 위원회에 업무를 지시하고 의원들이 투표할 수 있도록 하지 않는다면, 바로 거기에 문제가 있습니다."""
32,news,test-en-news_newsweek.63908,"House Speaker Mike Johnson is pictured in the U.S. Capitol on December 12, 2023, in Washington, D.C. Johnson faces an unruly Republican conference that cannot reach an agreement on government spending levels.",마이크 존슨 하원 의장이 2023년 12월 12일 워싱턴 DC의 미국 국회의사당에서 카메라에 잡혔습니다. 존슨 하원 의장은 공화당 회의를 앞두고 있는데  정부의 지출 수위 합의에 도달하기 좀처럼 쉽지 않을 것으로 보입니다.,2023년 12월 12일 워싱턴 D.C. 미국 국회의사당에서 촬영된 마이크 존슨 하원의장. 존슨 의장은 정부 지출 수준에 대한 합의에 이르지 못하는 다루기 힘든 공화당 의원총회에 직면해 있다.
33,news,test-en-news_newsweek.63908,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes.",극우 성향의 프리덤 코커스 소속인 로젠데일 의원은 수요일 투표에서 이탈한 의원 중 한 명입니다.,극우 성향의 프리덤 코커스 소속인 로젠데일은 수요일 표결을 무산시킨 의원 중 한 명이었다.
34,news,test-en-news_newsweek.63908,He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.,그는 34조 달러에 달하는 국가 부채를 경감하기에 존슨 의장이 합의한 지출 수치가 너무 높고 한 일은 너무 없다는 견해를 밝혔습니다.,그는 존슨의 합의안에 명시된 상한선이 너무 높고 34조 달러에 달하는 국가 부채 감축에는 미흡하다고 보고 있다.
35,news,test-en-news_newsweek.63908,"Rosendale was also among the 71 Republicans who opposed the Fiscal Responsibility Act struck between Democrats and former Speaker Kevin McCarthy, a deal that set the parameters for Johnson's recent negotiation with Senate Democratic Leader Charles Schumer.",로젠데일 의원 역시 71명의 공화당 의원 중에서 민주당 의원들과 전 하원 의장 케빈 매카시 간에 갈등을 일으켰던 재정 책임 법안에 반대한 의원 중 한 명이며 당시 합의로 존슨 의장과 찰스 슈머 민주당 상원 원내대표와의 최근 교섭의 한도가 결정되었습니다.,"로젠데일은 민주당과 전 하원의장 케빈 매카시 사이에 체결된 재정책임법에 반대하는 71명의 공화당 의원 중 한 명이었으며, 이 법안은 최근 존슨 대통령과 상원 민주당 원내대표 척 슈머 간의 협상의 기본 틀을 마련했습니다."
36,news,test-en-news_newsweek.63908,"Johnson celebrated his deal for cutting an estimated $16 billion in spending, but the Freedom Caucus believes he could have gotten more.",존슨 의장은 160억 달러 지출 추정치의 삭감을 자축했지만 프리덤 코커스는 더 삭감해야 했다고 주장했습니다.,"존슨은 약 160억 달러의 지출 삭감을 이뤄낸 합의를 자축했지만, 자유의회연맹은 그가 더 많은 것을 얻어낼 수 있었다고 생각한다."
37,news,test-en-news_newsweek.63908,"Moderate Republicans who backed McCarthy's deal see that stance as unrealistic and running counter to the Republican goal of forcing Congress to pass the 12 individual spending bills as opposed to the ""omnibus"" measure of recent years, which combined those 12 bills into one vote.","매카시의 합의를 지지한 온건파 공화당원들은 그러한 입장이 비현실적이며 12개 법안을 결합하여 한 번의 투표로 결정하도록 한 최근 수년간의 ""통합"" 법안에 반대하여 의회가 12개의 지출 법안을 각각 통과시키도록 압력을 행사하려는 공화당의 목표에 어긋난다고 보았습니다.","매카시의 합의안을 지지했던 온건 공화당원들은 그러한 입장이 비현실적이며, 최근 몇 년간 12개의 개별 세출 법안을 하나의 표결로 묶어 처리했던 ""옴니버스"" 방식 대신, 의회가 12개의 개별 세출 법안을 통과시키도록 강제하려는 공화당의 목표에 역행한다고 보고 있다."
38,news,test-en-news_newsweek.63908,"""New year, same idiotic behavior by some,"" New York Republican Representative Mike Lawler told Newsweek.",새해에 누군가는 똑같은 바보같은 짓을 할 겁니다 라고 마이크 롤러 뉴욕 출신 공화당 대표는 뉴스위크지를 통해 밝혔습니다.,"""새해가 됐지만 일부 의원들의 어리석은 행동은 여전하네요."" 뉴욕주 공화당 하원의원 마이크 롤러는 뉴스위크와의 인터뷰에서 이렇게 말했다."
39,news,test-en-news_newsweek.63908,"""We're not doing an omnibus, so each bill is going to have to be dealt with at conference and negotiated.","""통합식이 아니라 각 법안이 회의에서 다뤄지고 협상되도록 할 것입니다.","""우리는 예산안을 일괄 처리하지 않을 것이기 때문에 각 법안은 위원회에서 논의되고 협상되어야 합니다."
40,news,test-en-news_newsweek.63908,"Obviously, the reality is we're probably gonna need more time to do that.",분명히 현실적으로는 그렇게 되기 위해 좀 더 시간이 필요할 지도 모르겠습니다.,현실적으로 그러기 위해서는 더 많은 시간이 필요할 겁니다.
41,news,test-en-news_newsweek.63908,"And I don't support a government shutdown, so I have no problem with doing a short-term CR that allows for this process to be completed.""","저는 정부 셧다운을 지지하지 않으므로 본 처리가 마무리 되도록 하는 예산 계속 결의안을 단기적으로 실행하는 것에 동의합니다.""","저는 정부 셧다운을 지지하지 않기 때문에 이러한 절차가 완료될 수 있도록 단기 지출 승인(CR)을 하는 것에 아무런 문제가 없습니다."""
42,news,test-en-news_newsweek.63908,Congress has not passed all 12 bills individually since 1996.,의회는 1996년 이후로 12개 법안을 개별적으로 통과시킨 적이 없습니다.,1996년 이후 의회는 12개의 법안을 개별적으로 통과시키지 못했습니다.
43,news,test-en-news_newsweek.63908,Lawler said it's worth delaying passage of four of the bills to ensure the process is done right.,롤러 대표는 처리 과정이 제대로 이루어지도록 4개의 법안 통과를 미루는 것이 의미가 있다고 말했습니다.,Lawler는 절차의 정확성을 확보하기 위해 네 개의 법안 통과를 지연시키는 것이 가치 있다고 말했습니다.
44,news,test-en-news_newsweek.63908,"If Congress cannot pass the 12 bills by December, under the Fiscal Responsibility Act, a 1 percent budget cut would be applied to defense and non-defense discretionary spending.",만약 의회가 12월까지 12개 법안을 통과시키지 못하면 재정 책임 법안에 의거하여 국방비와 비국방비 재량 지출에 1%의 예산 삭감이 적용됩니다.,"의회가 12월까지 12개 법안을 통과시키지 못할 경우, 재정 책임법에 따라 국방 및 비국방 재량 지출에 1%의 예산 삭감이 적용될 것입니다."
45,news,test-en-news_newsweek.63908,"Congressman Thomas Massie of Kentucky, one of the Republican Party's most vocal budget hawks but not among those who protested the Wednesday vote, said a yearlong CR that triggers the 1 percent spending cut may be the most feasible way to keep the government open while ending ongoing ""brinkmanship.""","공화당에서 가장 강경한 예산 매파로서 목소리를 내는 의원 중 한 명이지만 수요일 투표에서 시위를 하지는 않았던 켄터키 주 출신 토마스 마시 하원 의원은 1 퍼센트의 지출 삭감을 촉발하게 될 일 년에 걸친 예산 계속 결의안은 계속된 ""위기 정책""을 끝내고 정부가 열려 있도록 하기 위해 가장 실현 가능성 있는 방법이 될 것이라고 말했습니다.","켄터키주 공화당 소속 토마스 매시 하원의원은 당내에서 가장 강력한 재정 긴축론자 중 한 명이지만 수요일 표결에 반대하지는 않았다. 그는 1%의 지출 삭감을 유발하는 1년짜리 계속 예산 결의안(CR)이 현재의 ""벼랑 끝 전술""을 끝내면서 정부 운영을 유지할 수 있는 가장 현실적인 방법일 수 있다고 말했다."
46,news,test-en-news_newsweek.63908,"However, he said the most ""responsible way"" to cut spending would be to pass all 12 bills.","그러나 그는 지출 삭감을 위해 가장 ""책임질 수 있는 방식""은 12개의 법안을 모두 통과시키는 것이라고 말했습니다.","그러나 그는 지출을 줄이는 가장 ""책임감 있는 방법""은 12개 법안 모두를 통과시키는 것이라고 말했다."
47,news,test-en-news_newsweek.63908,"With many Republicans reticent to see a shutdown and a 1 percent cut to defense spending, the urgency to pass the bills could see enough Republicans ally with Democrats to extend the deadline on the four spending bills and reach an agreement to fund the government, even if doing so puts Johnson in hot water with some of those on the hard right.","셧다운과 국방비 지출 1 퍼센트 삭감을 원하는 입을 다문 다수 공화당원들과 더불어, 법안을 통과시켜야 한다는 급박함으로  다수 공화당원들은 비록 존슨 의장과 몇몇 극우파 의원들이 곤경에 처하게 될지라도 4개 지출 법안에 대한 마감 기함을 연장하고자 민주당원들과 손을 잡고 정부에 자금을 지원하는 데 합의하게 될 수 있습니다.","많은 공화당원들이 정부 셧다운과 국방비 1% 삭감을 꺼리는 상황에서, 법안 통과의 시급성으로 인해 충분한 수의 공화당원들이 민주당과 협력하여 4개의 예산안 처리 시한을 연장하고 정부 재정 지원에 대한 합의에 도달할 수 있을 것이다. 비록 그렇게 하는 것이 존슨을 강경 우파 일부와 갈등하게 만들더라도 말이다."
48,news,test-en-news_newsweek.63908,"""That [1 percent cut] is supposed to be motivation and leverage to get 12 separate bills done,"" Massie told Newsweek.",그 [1 퍼센트]가 12개 각각의 법안을 통과시켜야 하는 이유이자 영향력이 될 것입니다 라고 마시 의원은 뉴스위크지에서 밝혔습니다.,"""(1% 삭감은) 12개의 개별 법안을 통과시키기 위한 동기 부여와 지렛대 역할을 하도록 의도된 것입니다.""라고 매시 의원은 뉴스위크와의 인터뷰에서 말했다."
49,news,test-en-news_newsweek.63908,"""So, I think we could do a one-year CR, we can argue, and then we hit that tiny little bump in the road, then hopefully everybody's motivated to come to their senses.","""제 생각에 일 년에 걸친 예산 계속 결의안을 진행하고 논의한다면 과정 중의 약간의 어려움을 극복할 수 있을 것이고 모두가 정확한 판단을 내릴 수 있게 되리라 봅니다.","""그래서 저는 1년짜리 CR(계속 결의안)을 처리할 수 있다고 생각합니다. 논의를 거쳐 그 작은 난관에 부딪히면 모두가 정신을 차리도록 동기 부여가 될 것이라고 기대합니다."
50,news,test-en-news_newsweek.63908,"That's the way I would do it.""","제 방식은 그렇습니다.""","제가 한다면 그렇게 할 겁니다."""
51,news,test-en-news_pa.52742,Regulators Approve New Bitcoin ETFs in Watershed Moment for Crypto,"규제 기관, 암호화폐의 분수령이 되는 순간에 새로운 비트코인 ETF 승인","규제 당국, 획기적인 순간에 비트코인 ETF 승인"
52,news,test-en-news_pa.52742,"The Securities and Exchange Commission begrudgingly approved exchange-traded funds that directly hold bitcoin Wednesday, a move long-awaited by fans of digital currencies and criticized by financial watchdogs skeptical of the crypto industry.",증권거래위원회는 수요일에 비트코인을 직접 보유하는 상장지수펀드를 마지못해 승인했습니다. 이는 디지털 통화 지지자들이 오랫동안 기다려온 조치이자 암호화폐 산업에 회의적인 금융 감독 기관의 비판을 받은 조치입니다.,"미국 증권거래위원회(SEC)는 수요일, 비트코인에 직접 투자하는 상장지수펀드(ETF)를 마지못해 승인했다. 이는 디지털 화폐 지지자들이 오랫동안 기다려온 결정이지만, 암호화폐 산업에 회의적인 금융 감독 기관들의 비판을 받고 있다."
53,news,test-en-news_pa.52742,"The commission authorized 10 exchange-traded funds, or ETFs, that invest in bitcoin, including funds proposed by giants such as Blackrock and Fidelity as well as by smaller financial companies.","위원회는 Blackrock, Fidelity 등 거대 금융사와 소규모 금융사가 제안한 펀드를 포함하여 비트코인에 투자하는 10개의 상장지수펀드(ETF)를 승인했습니다.",위원회는 블랙록과 피델리티 같은 대기업뿐만 아니라 소규모 금융 회사들이 제안한 펀드를 포함하여 비트코인에 투자하는 10개의 상장지수펀드(ETF)를 승인했습니다.
