idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
150,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,43.802
151,2.0,6.0,medium,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,70.823
152,3.0,7.0,medium,not relevant,not relevant,high,not relevant,high,high,not relevant,not relevant,85.368
153,4.0,8.0,not relevant,not relevant,medium,low,low,high,not relevant,not relevant,not relevant,60.854
154,3.0,8.0,medium,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,59.763
155,4.0,10.0,not relevant,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,23.618
156,4.0,9.0,not relevant,medium,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,31.242
157,4.0,10.0,not relevant,not relevant,not relevant,high,high,high,not relevant,not relevant,not relevant,22.566
158,2.0,7.0,not relevant,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,61.175
159,2.0,6.0,low,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,67.18
160,2.0,7.0,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,61.576
161,3.0,8.0,medium,not relevant,medium,high,not relevant,high,not relevant,not relevant,not relevant,103.4
162,4.0,9.0,not relevant,not relevant,high,high,not relevant,high,high,not relevant,not relevant,37.237
163,1.0,1.0,not relevant,not relevant,not relevant,high,high,low,not relevant,not relevant,not relevant,89.907
164,2.0,2.0,not relevant,not relevant,high,low,not relevant,low,not relevant,not relevant,not relevant,72.91
165,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,high,not relevant,not relevant,33.087
166,3.0,3.0,not relevant,low,not relevant,high,not relevant,not relevant,low,not relevant,not relevant,36.884
167,4.0,10.0,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,not relevant,32.84
168,4.0,10.0,not relevant,high,high,high,not relevant,not relevant,high,not relevant,not relevant,27.886
169,4.0,3.0,not relevant,low,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,19.822
170,3.0,7.0,medium,medium,high,medium,not relevant,high,not relevant,not relevant,not relevant,56.096
171,3.0,8.0,medium,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,31.837
172,4.0,10.0,not relevant,high,high,high,not relevant,high,not relevant,not relevant,not relevant,48.921
173,3.0,8.0,not relevant,medium,high,high,not relevant,not relevant,high,not relevant,not relevant,52.248
174,2.0,6.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,46.133
175,4.0,5.0,not relevant,low,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,28.361
176,4.0,5.0,not relevant,low,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,40.602
177,4.0,5.0,not relevant,not relevant,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,61.045
178,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,high,high,not relevant,not relevant,35.137
179,1.0,8.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,55.318
180,,,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,8.584
181,4.0,9.0,not relevant,not relevant,not relevant,medium,medium,high,not relevant,not relevant,not relevant,42.32
182,4.0,9.0,not relevant,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,not relevant,22.883
183,4.0,5.0,not relevant,not relevant,not relevant,low,low,medium,not relevant,not relevant,not relevant,40.251
184,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,12.125
185,3.0,5.0,not relevant,not relevant,not relevant,high,low,not relevant,high,not relevant,not relevant,43.346
186,4.0,9.0,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,not relevant,22.549
187,4.0,10.0,not relevant,not relevant,high,high,not relevant,high,not relevant,not relevant,not relevant,56.123
188,2.0,3.0,not relevant,low,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,48.201
189,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,36.395
190,4.0,8.0,not relevant,not relevant,high,high,not relevant,medium,not relevant,not relevant,not relevant,17.716
191,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,not relevant,25.297
192,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,45.627
193,3.0,3.0,not relevant,not relevant,not relevant,high,low,high,not relevant,not relevant,not relevant,33.082
194,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,high,31.973
195,4.0,10.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,19.756
196,3.0,3.0,medium,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,26.843
197,3.0,5.0,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,35.858
198,3.0,9.0,not relevant,not relevant,high,high,high,high,not relevant,not relevant,not relevant,75.019
199,2.0,7.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,25.013
200,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,high,19.559
201,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,26.698
202,4.0,9.0,not relevant,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,33.69
203,4.0,10.0,not relevant,not relevant,high,high,not relevant,high,high,not relevant,not relevant,19.661
204,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,70.735
205,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,39.835
206,2.0,7.0,not relevant,not relevant,low,medium,not relevant,high,not relevant,not relevant,not relevant,42.643
207,4.0,9.0,not relevant,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,42.504
208,2.0,5.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,106.54
209,2.0,5.0,not relevant,low,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,47.475
210,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,21.901
211,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,not relevant,55.991
212,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,26.385
213,,,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,16.249
214,4.0,10.0,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,40.98
215,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,64.859
216,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,51.731
217,4.0,10.0,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,217.068
218,4.0,10.0,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,not relevant,not relevant,50.778000000000006
219,3.0,8.0,not relevant,not relevant,high,high,not relevant,medium,not relevant,not relevant,not relevant,30.669
220,3.0,8.0,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,not relevant,93.488
221,2.0,6.0,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,not relevant,not relevant,106.08
222,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,56.509
223,2.0,5.0,low,low,high,medium,high,not relevant,not relevant,not relevant,not relevant,58.039
224,1.0,5.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,25.262
225,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,9.568
226,4.0,8.0,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,medium,not relevant,69.639
227,4.0,9.0,not relevant,not relevant,high,medium,not relevant,not relevant,medium,not relevant,not relevant,31.658
228,4.0,8.0,not relevant,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,37.426
229,4.0,9.0,not relevant,not relevant,medium,medium,not relevant,high,not relevant,not relevant,not relevant,31.258
230,2.0,6.0,not relevant,not relevant,medium,medium,not relevant,high,not relevant,not relevant,not relevant,36.723
231,4.0,9.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,medium,not relevant,38.516
232,2.0,7.0,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,not relevant,79.539
233,2.0,3.0,medium,not relevant,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,84.131
234,4.0,8.0,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,not relevant,not relevant,31.692
235,4.0,10.0,not relevant,not relevant,high,high,high,not relevant,not relevant,not relevant,not relevant,42.413
236,3.0,7.0,not relevant,not relevant,high,high,not relevant,medium,not relevant,not relevant,not relevant,39.526
237,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,11.762
238,3.0,9.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,28.004
239,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,12.82
240,4.0,9.0,not relevant,not relevant,high,medium,high,not relevant,not relevant,medium,not relevant,48.867
241,4.0,6.0,not relevant,low,high,high,low,low,not relevant,not relevant,not relevant,73.201
242,4.0,6.0,not relevant,low,high,high,low,not relevant,not relevant,not relevant,not relevant,44.984
243,3.0,9.0,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,1163.148
244,3.0,10.0,not relevant,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,79.661
245,4.0,10.0,not relevant,not relevant,not relevant,not relevant,low,not relevant,high,not relevant,not relevant,39.855
246,,8.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,55.908
247,2.0,8.0,not relevant,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,40.049
248,4.0,6.0,not relevant,not relevant,not relevant,not relevant,not relevant,high,high,low,not relevant,67.889
249,4.0,9.0,not relevant,not relevant,not relevant,not relevant,not relevant,medium,high,not relevant,not relevant,24.148
250,4.0,10.0,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,21.777
251,3.0,8.0,not relevant,medium,not relevant,not relevant,low,not relevant,high,not relevant,not relevant,45.572
252,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,29.867
253,4.0,8.0,not relevant,not relevant,not relevant,high,not relevant,low,not relevant,not relevant,high,25.576
254,2.0,8.0,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,low,not relevant,22.809
255,3.0,9.0,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,22041.026
256,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,191.376
257,4.0,,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,22.18
258,4.0,10.0,not relevant,high,not relevant,high,not relevant,not relevant,high,not relevant,high,39.049
259,3.0,7.0,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,low,not relevant,not relevant,21.168
260,3.0,8.0,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,25.207
261,4.0,9.0,not relevant,medium,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,68.776
262,3.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,26.981
263,4.0,,not relevant,not relevant,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,32.233
264,3.0,8.0,medium,medium,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,56.195
265,2.0,7.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,149.478
266,4.0,,not relevant,not relevant,not relevant,high,not relevant,high,high,not relevant,not relevant,18.248
267,3.0,9.0,not relevant,not relevant,high,high,not relevant,high,high,not relevant,not relevant,38.834
268,4.0,8.0,not relevant,medium,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,52.458
269,2.0,8.0,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,456.324
270,4.0,9.0,not relevant,low,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,34.512
271,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,13.297
272,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.961
273,4.0,10.0,not relevant,high,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,16549.416
274,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,1466.573
275,2.0,8.0,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,268.398
276,4.0,10.0,low,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,31.466
277,3.0,9.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,38.803
278,3.0,8.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,70.27
279,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,19.64
280,3.0,7.0,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,29.046
281,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,12.145
282,3.0,8.0,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,34.508
283,4.0,9.0,not relevant,medium,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,34.132
284,2.0,3.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,low,not relevant,47.946
285,3.0,9.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,48.915
286,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,30.778
287,4.0,8.0,not relevant,low,not relevant,high,low,not relevant,not relevant,not relevant,high,68.174
288,4.0,5.0,not relevant,low,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,31.684
289,4.0,7.0,not relevant,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,low,53.115
290,4.0,8.0,not relevant,high,not relevant,low,medium,not relevant,not relevant,not relevant,medium,62.96
291,4.0,9.0,not relevant,high,not relevant,not relevant,not relevant,not relevant,medium,not relevant,high,28.959
292,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,high,30.522
293,4.0,8.0,not relevant,not relevant,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,33.389
294,3.0,9.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,high,35.92
295,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,16.258
296,4.0,7.0,not relevant,not relevant,not relevant,low,not relevant,low,high,not relevant,not relevant,71.389
297,4.0,8.0,not relevant,not relevant,not relevant,high,low,low,not relevant,not relevant,not relevant,62.639
